Date,Open*,High,Low,Close**,Volume,MarketCap
25-Dec-17,4.146000831,4.164144582,4.128686764,4.146952412,10.02794864,11.3703095
24-Dec-17,4.164596706,4.165125569,4.105431834,4.143820154,10.06341968,11.38885399
23-Dec-17,4.144533734,4.193213675,4.140784496,4.167293699,10.11680692,11.3687479
22-Dec-17,4.201342493,4.202580942,4.073094865,4.140878701,10.34631385,11.42550324
21-Dec-17,4.221215956,4.244714906,4.185901793,4.198736792,10.21792065,11.44533483
20-Dec-17,4.249450297,4.253694116,4.206223921,4.220751205,10.34536785,11.47352492
19-Dec-17,4.281449272,4.282798785,4.237428112,4.249851143,10.22774534,11.50547829
18-Dec-17,4.281178866,4.287152041,4.263775683,4.281356126,10.17141927,11.50514998
17-Dec-17,4.289495306,4.302958319,4.278161185,4.281960085,10.12432812,11.5134054
16-Dec-17,4.249450297,4.294834228,4.24341758,4.289976702,10.10518988,11.47330592
15-Dec-17,4.220142098,4.258974723,4.220142098,4.248142535,10.15563963,11.4439448
14-Dec-17,4.214435843,4.232635318,4.209136853,4.219165222,10.13916727,11.43817672
13-Dec-17,4.243038049,4.246820981,4.205196241,4.215060941,10.11317096,11.46671937
12-Dec-17,4.228395225,4.249975721,4.219364442,4.240933454,10.16446588,11.45202423
11-Dec-17,4.18829274,4.243382866,4.187656064,4.228831359,10.08471566,11.41186708
10-Dec-17,4.180939773,4.200045706,4.12144822,4.189080249,10.12818271,11.40446082
9-Dec-17,4.218096788,4.224869595,4.135924159,4.181220271,10.14336772,11.44156161
8-Dec-17,4.250490752,4.26371653,4.156455256,4.219306782,10.3250228,11.47390573
7-Dec-17,4.154305264,4.252845752,4.147901913,4.252845752,10.25408139,11.37767044
6-Dec-17,4.076400114,4.157429567,4.076400114,4.155077814,10.10230676,11.29970337
5-Dec-17,4.067654733,4.080337823,4.064630175,4.076156006,9.838550647,11.29090011
4-Dec-17,4.053669911,4.066594248,4.044610308,4.066594248,9.787631183,11.27685686
3-Dec-17,4.044645577,4.074037082,4.035909798,4.053969178,9.820090408,11.26777697
2-Dec-17,4.040535094,4.0538541,4.037629652,4.044328049,9.710836361,11.2636124
1-Dec-17,4.008540559,4.04323256,3.986532135,4.040428271,9.8314295,11.23156133
30-Nov-17,3.995932957,4.033463966,3.963884589,4.010028438,9.919637083,11.21889508
29-Nov-17,4.003348497,4.06135445,3.982317827,3.995135249,10.06328831,11.22625697
28-Nov-17,3.992263155,4.005425056,3.988393947,4.002546173,9.802693014,11.21511917
27-Nov-17,3.970937933,3.99203851,3.970937933,3.99203851,9.752303569,11.19373941
26-Nov-17,3.943941441,3.978770592,3.943276325,3.969907244,9.738430129,11.16669351
25-Nov-17,3.916017329,3.944034328,3.913344879,3.944034328,9.63769582,11.13871942
